"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 22 16:39:57 GMT 2024","Thu Aug 22 16:39:58 GMT 2024","580","","template spec6","","","","test6",""
"passed","Thu Aug 22 16:39:52 GMT 2024","Thu Aug 22 16:39:53 GMT 2024","332","","template spec5","","","","test5",""
"passed","Thu Aug 22 16:39:40 GMT 2024","Thu Aug 22 16:39:40 GMT 2024","384","","template spec3","","","","test3",""
"passed","Thu Aug 22 16:39:39 GMT 2024","Thu Aug 22 16:39:40 GMT 2024","391","","template spec4","","","","test4",""
"failed","Thu Aug 22 16:40:44 GMT 2024","Thu Aug 22 16:40:44 GMT 2024","220","","template spec","","","","test1",""
"passed","Thu Aug 22 16:39:45 GMT 2024","Thu Aug 22 16:39:45 GMT 2024","343","","template spec2","","","","test2",""
