"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","239","test5","","Mon Apr 21 17:01:36 GMT 2025","passed","Mon Apr 21 17:01:36 GMT 2025","","template spec5","",""
"","306","test3","","Mon Apr 21 17:01:29 GMT 2025","passed","Mon Apr 21 17:01:29 GMT 2025","","template spec3","",""
"","227","test6","","Mon Apr 21 17:01:39 GMT 2025","passed","Mon Apr 21 17:01:40 GMT 2025","","template spec6","",""
"","328","test4","","Mon Apr 21 17:01:32 GMT 2025","passed","Mon Apr 21 17:01:33 GMT 2025","","template spec4","",""
"","251","test1","","Mon Apr 21 17:01:23 GMT 2025","failed","Mon Apr 21 17:01:23 GMT 2025","","template spec","",""
"","4","test2","","Mon Apr 21 17:01:25 GMT 2025","skipped","Mon Apr 21 17:01:25 GMT 2025","","template spec2","",""
